уi,ax,ay,bx,by,err_px
224,658.943,722.197,659.049,721.924,0.2937
225,719.203,721.930,719.213,721.671,0.2584
226,779.224,721.700,779.307,721.467,0.2471
227,839.436,721.598,839.443,721.312,0.2858
228,899.452,721.471,899.428,721.217,0.2544
229,959.491,721.484,959.526,721.208,0.2788
230,1019.573,721.487,1019.557,721.247,0.2405
231,1079.686,721.542,1079.650,721.325,0.2194
232,1139.705,721.710,1139.674,721.419,0.2928
233,1199.957,721.939,1199.879,721.645,0.3044
234,1260.073,722.138,1259.925,721.907,0.2747
235,1320.357,722.508,1320.218,722.226,0.3138
236,1380.530,722.890,1380.441,722.571,0.3307
237,1440.960,723.316,1440.798,723.072,0.2930
238,1501.376,723.813,1501.226,723.521,0.3283
239,1561.899,724.312,1561.729,724.051,0.3114
240,1622.584,724.848,1622.375,724.592,0.3309
241,1683.255,725.514,1683.052,725.294,0.2991
242,1744.078,726.191,1743.931,725.993,0.2469
243,174.148,786.788,174.294,786.596,0.2407
244,235.041,786.072,235.215,785.796,0.3262
245,295.852,785.306,295.993,785.079,0.2670
246,356.554,784.693,356.700,784.463,0.2721
247,417.171,784.112,417.301,783.916,0.2344
248,477.635,783.598,477.789,783.355,0.2878
249,538.146,783.091,538.242,782.872,0.2390
250,598.397,782.718,598.507,782.433,0.3058
251,658.794,782.339,658.822,782.101,0.2396
252,718.914,782.069,718.950,781.749,0.3213
253,779.200,781.810,779.245,781.562,0.2519
254,839.225,781.707,839.285,781.415,0.2983
255,899.419,781.592,899.430,781.324,0.2682
256,959.465,781.542,959.518,781.260,0.2869
257,1019.684,781.593,1019.622,781.317,0.2827
258,1079.687,781.666,1079.673,781.386,0.2808
259,1139.979,781.893,1139.850,781.574,0.3440
260,1200.065,782.136,1199.969,781.784,0.3644
261,1260.363,782.354,1260.321,782.104,0.2539
262,1320.551,782.685,1320.447,782.405,0.2995
263,1380.997,783.132,1380.867,782.845,0.3152
264,1441.328,783.614,1441.220,783.392,0.2468
265,1501.888,784.192,1501.736,783.869,0.3576
266,1562.481,784.729,1562.316,784.451,0.3230
267,1623.176,785.357,1622.999,785.133,0.2855
268,1684.016,786.008,1683.840,785.857,0.2319
269,1744.914,786.809,1744.716,786.596,0.2907
270,173.172,847.766,173.365,847.523,0.3101
271,234.150,846.952,234.407,846.691,0.3664
272,295.099,846.143,295.271,845.863,0.3281
273,355.907,845.402,356.021,845.098,0.3242
274,416.542,844.709,416.696,844.490,0.2679
275,477.204,844.172,477.264,843.949,0.2312
276,537.629,843.653,537.729,843.345,0.3241
277,598.133,843.223,598.256,842.902,0.3441
278,658.321,842.804,658.489,842.512,0.3366
279,718.776,842.479,718.796,842.199,0.2809
280,778.923,842.226,778.942,841.939,0.2882
281,839.198,842.051,839.263,841.746,0.3121
282,899.382,841.927,899.368,841.659,0.2685
283,959.532,841.915,959.513,841.654,0.2613
284,1019.632,841.938,1019.654,841.676,0.2624
285,1079.944,842.080,1079.870,841.754,0.3341
286,1140.005,842.253,1139.971,841.934,0.3205
287,1200.405,842.509,1200.335,842.204,0.3129
288,1260.503,842.779,1260.476,842.536,0.2446
289,1321.021,843.175,1320.884,842.903,0.3043
290,1381.316,843.657,1381.208,843.315,0.3583
291,1441.927,844.185,1441.742,843.913,0.3282
292,1502.472,844.739,1502.298,844.506,0.2906
293,1563.103,845.402,1562.969,845.190,0.2499
294,1623.957,846.156,1623.797,845.911,0.2926
295,1684.837,846.935,1684.682,846.707,0.2755
296,1745.848,847.688,1745.751,847.525,0.1896
297,172.047,909.061,172.206,908.867,0.2508
298,233.230,908.120,233.381,907.874,0.2893
299,294.193,907.245,294.371,907.018,0.2877
300,355.137,906.509,355.289,906.234,0.3148
301,415.882,905.703,416.020,905.444,0.2934
302,476.509,905.081,476.654,904.794,0.3212
303,537.259,904.519,537.268,904.176,0.3430
304,597.551,903.999,597.690,903.684,0.3453
305,658.139,903.570,658.186,903.227,0.3466
306,718.372,903.202,718.423,902.897,0.3096
307,778.819,902.933,778.836,902.624,0.3097
308,838.977,902.677,839.008,902.431,0.2481
309,899.325,902.555,899.313,902.301,0.2543
310,959.488,902.569,959.530,902.210,0.3621
311,1019.739,902.576,1019.745,902.335,0.2413
312,1079.994,902.749,1079.916,902.419,0.3393
313,1140.396,902.906,1140.289,902.589,0.3338
314,1200.452,903.239,1200.450,902.886,0.3535
315,1261.050,903.511,1260.922,903.285,0.2600
316,1321.260,903.978,1321.183,903.634,0.3524
317,1381.959,904.499,1381.806,904.238,0.3031
318,1442.341,905.103,1442.229,904.809,0.3143
319,1503.174,905.759,1502.995,905.468,0.3416
320,1563.915,906.439,1563.770,906.171,0.3040
321,1624.787,907.286,1624.660,907.062,0.2580
322,1685.838,908.109,1685.730,907.885,0.2488
323,1746.950,909.075,1746.782,908.820,0.3056
324,170.797,970.831,170.907,970.617,0.2406
325,232.052,969.745,232.167,969.604,0.1818
326,293.220,968.811,293.354,968.598,0.2517
327,354.203,967.900,354.358,967.696,0.2565
328,415.062,967.117,415.227,966.854,0.3106
329,475.949,966.373,476.031,966.095,0.2889
330,536.488,965.756,536.625,965.471,0.3162
331,597.245,965.229,597.302,964.910,0.3241
332,657.577,964.693,657.639,964.424,0.2761
333,718.234,964.303,718.259,964.008,0.2965
334,778.413,963.955,778.457,963.663,0.2956
335,838.946,963.717,838.896,963.433,0.2884
336,899.166,963.647,899.202,963.343,0.3063
337,959.496,963.611,959.480,963.321,0.2898
338,1019.847,963.615,1019.817,963.341,0.2760
339,1080.284,963.741,1080.169,963.475,0.2902
340,1140.423,963.920,1140.354,963.661,0.2682
341,1201.086,964.288,1200.931,964.013,0.3155
342,1261.338,964.643,1261.181,964.370,0.3151
343,1321.978,965.176,1321.841,964.866,0.3388
344,1382.291,965.722,1382.330,965.444,0.2812
345,1443.225,966.371,1443.087,966.122,0.2843
346,1503.874,967.101,1503.766,966.889,0.2382
347,1564.875,967.950,1564.713,967.677,0.3178
348,1625.902,968.763,1625.638,968.586,0.3185
349,1686.967,969.780,1686.840,969.568,0.2479
350,1748.223,970.845,1748.172,970.661,0.1913
351,169.272,1033.078,169.326,1032.961,0.1294
352,230.747,1031.959,230.820,1031.761,0.2106
353,291.998,1030.923,292.114,1030.716,0.2369
354,353.182,1029.926,353.271,1029.678,0.2638
355,414.240,1029.086,414.262,1028.843,0.2445
356,474.999,1028.168,475.157,1027.917,0.2960
357,536.062,1027.381,536.087,1027.154,0.2287
358,596.466,1026.813,596.552,1026.509,0.3158
359,657.308,1026.254,657.313,1026.018,0.2358
360,717.620,1025.794,717.674,1025.553,0.2472
361,778.320,1025.497,778.367,1025.159,0.3414
362,838.616,1025.243,838.622,1024.911,0.3325
363,899.140,1025.048,899.119,1024.793,0.2559
364,959.510,1025.016,959.506,1024.778,0.2384
365,1019.949,1025.099,1019.907,1024.798,0.3040
366,1080.291,1025.238,1080.286,1024.942,0.2964
367,1140.922,1025.486,1140.816,1025.203,0.3024
368,1201.169,1025.827,1201.165,1025.555,0.2725
369,1262.001,1026.261,1261.874,1025.969,0.3184
370,1322.360,1026.873,1322.281,1026.549,0.3338
371,1383.273,1027.468,1383.148,1027.240,0.2602
372,1443.796,1028.132,1443.724,1027.932,0.2120
373,1504.922,1029.002,1504.807,1028.725,0.2999
374,1565.844,1029.829,1565.764,1029.629,0.2163
375,1627.023,1030.903,1626.938,1030.662,0.2557
376,1688.314,1031.957,1688.232,1031.747,0.2254
377,1749.726,1033.179,1749.644,1032.988,0.2081
378,167.484,1096.143,167.642,1095.984,0.2235
379,229.133,1094.767,229.199,1094.759,0.0666
380,290.612,1093.609,290.713,1093.451,0.1873
381,351.903,1092.568,352.033,1092.247,0.3461
382,413.061,1091.489,413.157,1091.273,0.2358
383,474.255,1090.603,474.335,1090.347,0.2685
384,534.948,1089.705,535.059,1089.497,0.2359
385,596.100,1089.011,596.127,1088.738,0.2751
386,656.411,1088.471,656.556,1088.201,0.3066
387,717.485,1087.881,717.463,1087.709,0.1736
388,777.754,1087.581,777.818,1087.307,0.2815
389,838.565,1087.287,838.542,1087.009,0.2785
390,898.936,1087.117,898.957,1086.803,0.3145
391,959.522,1087.068,959.528,1086.773,0.2950
392,1020.018,1087.074,1019.983,1086.846,0.2312
